Point ID,X (ECEF),Y (ECEF),Z (ECEF)
AUTO0332,-2956584.478,5075878.981,2476667.605
AUTO0333,-2956584.483,5075878.986,2476667.61
AUTO0334,-2956584.482,5075878.986,2476667.609
AUTO0335,-2956584.478,5075878.979,2476667.606
AUTO0336,-2956584.476,5075878.983,2476667.611
AUTO0337,-2956584.48,5075878.982,2476667.608
AUTO0338,-2956584.482,5075878.986,2476667.611
AUTO0339,-2956584.477,5075878.982,2476667.605
AUTO0340,-2956584.482,5075878.984,2476667.61
AUTO0341,-2956584.479,5075878.987,2476667.609
AUTO0342,-2956584.478,5075878.987,2476667.607
AUTO0343,-2956584.483,5075878.989,2476667.61
AUTO0344,-2956584.483,5075878.984,2476667.612
AUTO0345,-2956584.483,5075878.989,2476667.608
AUTO0346,-2956584.478,5075878.984,2476667.601
AUTO0347,-2956584.482,5075878.988,2476667.612
AUTO0348,-2956584.484,5075878.992,2476667.61
AUTO0349,-2956584.481,5075878.988,2476667.609
AUTO0350,-2956584.484,5075878.993,2476667.608
AUTO0351,-2956584.486,5075878.994,2476667.609
AUTO0352,-2956584.489,5075878.992,2476667.61
AUTO0353,-2956584.483,5075878.989,2476667.608
AUTO0354,-2956584.483,5075878.988,2476667.607
AUTO0355,-2956584.482,5075878.987,2476667.605
AUTO0356,-2956584.482,5075878.984,2476667.607
AUTO0357,-2956584.479,5075878.985,2476667.607
AUTO0358,-2956584.482,5075878.99,2476667.609
AUTO0359,-2956584.479,5075878.985,2476667.605
AUTO0360,-2956584.486,5075878.99,2476667.609
AUTO0361,-2956584.476,5075878.983,2476667.603
AUTO0362,-2956584.481,5075878.985,2476667.606
AUTO0363,-2956584.482,5075878.987,2476667.61
AUTO0364,-2956584.48,5075878.99,2476667.608
AUTO0365,-2956584.482,5075878.983,2476667.61
AUTO0366,-2956584.477,5075878.985,2476667.607
AUTO0367,-2956584.481,5075878.989,2476667.607
AUTO0368,-2956584.477,5075878.986,2476667.608
AUTO0369,-2956584.481,5075878.985,2476667.609
AUTO0370,-2956584.48,5075878.983,2476667.606
AUTO0371,-2956584.482,5075878.988,2476667.606
AUTO0372,-2956584.482,5075878.985,2476667.608
AUTO0373,-2956584.478,5075878.988,2476667.609
AUTO0374,-2956584.48,5075878.984,2476667.608
AUTO0375,-2956584.484,5075878.991,2476667.612
AUTO0376,-2956584.481,5075878.986,2476667.605
AUTO0377,-2956584.478,5075878.986,2476667.607
AUTO0378,-2956584.483,5075878.986,2476667.61
AUTO0379,-2956584.485,5075878.987,2476667.611
AUTO0380,-2956584.487,5075878.991,2476667.612
AUTO0381,-2956584.487,5075878.989,2476667.613
AUTO0382,-2956584.484,5075878.992,2476667.606
AUTO0383,-2956584.482,5075878.986,2476667.607
AUTO0384,-2956584.488,5075878.991,2476667.611
AUTO0385,-2956584.485,5075878.992,2476667.609
AUTO0386,-2956584.483,5075878.988,2476667.609
AUTO0387,-2956584.483,5075878.986,2476667.608
AUTO0388,-2956584.486,5075878.991,2476667.608
AUTO0389,-2956584.482,5075878.989,2476667.606
AUTO0390,-2956584.482,5075878.985,2476667.606
AUTO0391,-2956584.481,5075878.986,2476667.602
AUTO0392,-2956584.485,5075878.989,2476667.61
AUTO0393,-2956584.485,5075878.986,2476667.608
AUTO0394,-2956584.488,5075878.991,2476667.614
AUTO0395,-2956584.483,5075878.989,2476667.605
AUTO0396,-2956584.488,5075878.993,2476667.611
AUTO0397,-2956584.483,5075878.99,2476667.609
AUTO0398,-2956584.482,5075878.986,2476667.608
AUTO0399,-2956584.484,5075878.99,2476667.606
AUTO0400,-2956584.483,5075878.985,2476667.611
AUTO0401,-2956584.489,5075878.995,2476667.612
AUTO0402,-2956584.48,5075878.984,2476667.601
AUTO0403,-2956584.486,5075878.986,2476667.606
AUTO0404,-2956584.486,5075878.989,2476667.61
AUTO0405,-2956584.486,5075878.989,2476667.607
AUTO0406,-2956584.483,5075878.981,2476667.601
AUTO0407,-2956584.483,5075878.985,2476667.606
AUTO0408,-2956584.486,5075878.987,2476667.606
AUTO0409,-2956584.488,5075878.987,2476667.611
AUTO0410,-2956584.48,5075878.986,2476667.603
AUTO0411,-2956584.484,5075878.986,2476667.607
AUTO0412,-2956584.488,5075878.99,2476667.608
AUTO0413,-2956584.488,5075878.993,2476667.611
AUTO0414,-2956584.487,5075878.994,2476667.611
AUTO0415,-2956584.483,5075878.99,2476667.608
AUTO0416,-2956584.488,5075878.996,2476667.61
AUTO0417,-2956584.484,5075878.995,2476667.61
AUTO0418,-2956584.488,5075878.995,2476667.61
AUTO0419,-2956584.488,5075878.998,2476667.609
AUTO0420,-2956584.482,5075878.992,2476667.609
AUTO0421,-2956584.488,5075878.994,2476667.612
AUTO0422,-2956584.482,5075878.994,2476667.609
AUTO0423,-2956584.482,5075878.993,2476667.612
AUTO0424,-2956584.484,5075878.997,2476667.613
AUTO0425,-2956584.483,5075878.996,2476667.607
AUTO0426,-2956584.485,5075878.999,2476667.612
AUTO0427,-2956584.483,5075878.992,2476667.612
AUTO0428,-2956584.482,5075878.994,2476667.612
AUTO0429,-2956584.48,5075878.989,2476667.604
AUTO0430,-2956584.484,5075878.994,2476667.612
AUTO0431,-2956584.484,5075878.996,2476667.612
AUTO0432,-2956584.48,5075878.991,2476667.609
AUTO0433,-2956584.484,5075878.992,2476667.612
AUTO0434,-2956584.482,5075878.993,2476667.61
AUTO0435,-2956584.487,5075878.996,2476667.613
AUTO0436,-2956584.491,5075879.003,2476667.614
AUTO0437,-2956584.486,5075879,2476667.612
AUTO0438,-2956584.484,5075878.999,2476667.609
AUTO0439,-2956584.486,5075878.999,2476667.609
AUTO0440,-2956584.492,5075879.008,2476667.617
AUTO0441,-2956584.486,5075878.999,2476667.604
AUTO0442,-2956584.483,5075878.997,2476667.609
AUTO0443,-2956584.484,5075878.997,2476667.607
AUTO0444,-2956584.485,5075879,2476667.612
AUTO0445,-2956584.484,5075879,2476667.611
AUTO0447,-2956584.484,5075878.997,2476667.61
AUTO0448,-2956584.484,5075879,2476667.616
AUTO0449,-2956584.483,5075878.996,2476667.612
AUTO0450,-2956584.485,5075878.999,2476667.614
AUTO0451,-2956584.482,5075878.998,2476667.61
AUTO0452,-2956584.485,5075878.998,2476667.609
AUTO0453,-2956584.485,5075879.002,2476667.614
AUTO0454,-2956584.482,5075878.998,2476667.613
AUTO0455,-2956584.482,5075878.996,2476667.611
AUTO0456,-2956584.482,5075878.996,2476667.611
AUTO0457,-2956584.484,5075878.999,2476667.612
AUTO0458,-2956584.482,5075878.993,2476667.612
AUTO0459,-2956584.481,5075878.996,2476667.611
AUTO0460,-2956584.484,5075879,2476667.614
AUTO0461,-2956584.48,5075878.992,2476667.61
AUTO0462,-2956584.481,5075878.996,2476667.61
AUTO0463,-2956584.484,5075878.998,2476667.616
AUTO0464,-2956584.494,5075879.004,2476667.62
AUTO0465,-2956584.49,5075879.004,2476667.623
AUTO0466,-2956584.484,5075878.998,2476667.616
AUTO0467,-2956584.487,5075879,2476667.622
AUTO0468,-2956584.485,5075878.997,2476667.615
AUTO0469,-2956584.486,5075878.998,2476667.619
AUTO0470,-2956584.479,5075878.992,2476667.614
AUTO0471,-2956584.487,5075879,2476667.619
AUTO0472,-2956584.481,5075878.995,2476667.615
AUTO0473,-2956584.484,5075878.996,2476667.615
AUTO0474,-2956584.486,5075878.996,2476667.616
AUTO0475,-2956584.482,5075878.993,2476667.616
AUTO0476,-2956584.479,5075878.99,2476667.61
AUTO0477,-2956584.486,5075878.996,2476667.617
AUTO0478,-2956584.483,5075878.994,2476667.613
AUTO0479,-2956584.478,5075878.993,2476667.614
AUTO0480,-2956584.483,5075878.994,2476667.61
AUTO0481,-2956584.477,5075878.987,2476667.611
AUTO0482,-2956584.478,5075878.989,2476667.614
AUTO0483,-2956584.479,5075878.988,2476667.609
AUTO0484,-2956584.478,5075878.988,2476667.61
AUTO0485,-2956584.477,5075878.989,2476667.608
AUTO0486,-2956584.478,5075878.988,2476667.609
AUTO0487,-2956584.485,5075878.993,2476667.613
AUTO0488,-2956584.477,5075878.987,2476667.61
AUTO0489,-2956584.481,5075878.992,2476667.611
AUTO0490,-2956584.486,5075878.997,2476667.613
AUTO0491,-2956584.484,5075878.996,2476667.615
AUTO0492,-2956584.484,5075878.995,2476667.61
AUTO0493,-2956584.483,5075878.993,2476667.612
AUTO0494,-2956584.482,5075878.991,2476667.61
AUTO0495,-2956584.488,5075878.994,2476667.617
AUTO0496,-2956584.482,5075878.986,2476667.615
AUTO0497,-2956584.488,5075878.993,2476667.617
AUTO0498,-2956584.484,5075878.989,2476667.614
AUTO0499,-2956584.486,5075878.989,2476667.612
AUTO0500,-2956584.492,5075878.998,2476667.618
AUTO0501,-2956584.494,5075878.998,2476667.617
AUTO0502,-2956584.492,5075878.996,2476667.613
AUTO0503,-2956584.488,5075878.997,2476667.616
AUTO0504,-2956584.487,5075878.995,2476667.614
AUTO0505,-2956584.484,5075878.991,2476667.613
AUTO0506,-2956584.486,5075878.993,2476667.614
AUTO0507,-2956584.49,5075878.996,2476667.612
AUTO0508,-2956584.498,5075879.003,2476667.62
AUTO0509,-2956584.489,5075878.995,2476667.615
AUTO0510,-2956584.487,5075878.994,2476667.616
AUTO0511,-2956584.488,5075878.999,2476667.611
AUTO0512,-2956584.488,5075878.994,2476667.615
AUTO0513,-2956584.49,5075878.998,2476667.615
AUTO0514,-2956584.488,5075878.997,2476667.613
AUTO0515,-2956584.488,5075878.999,2476667.614
AUTO0516,-2956584.485,5075878.997,2476667.614
AUTO0517,-2956584.484,5075878.997,2476667.61
AUTO0518,-2956584.487,5075879,2476667.617
AUTO0519,-2956584.481,5075878.995,2476667.613
AUTO0520,-2956584.483,5075878.997,2476667.612
AUTO0521,-2956584.486,5075878.995,2476667.608
AUTO0522,-2956584.487,5075878.996,2476667.609
