 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b12309\ORB\brd17133.sp3                                           
 FILE 2: ${P}/b12309\ORB\igs17133.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |   4 | 56238.062500000  | P P |   530.6418  169.3442  399.7488 |   |
 |   5 | 56238.062500000  | P P |   564.3745 -264.6218  278.6335 |   |
 |   6 | 56238.062500000  | P P |  -198.3441 -225.5740  177.3895 |   |
 |   8 | 56238.062500000  | P P |   369.4106   21.6993  732.3153 |   |
 |   9 | 56238.062500000  | P P |   242.8004 -649.6450  517.7471 |   |
 |  10 | 56238.062500000  | P P |   526.2528  108.6815  240.0123 |   |
 |  11 | 56238.062500000  | P P |    37.7152 -151.4360  656.0204 |   |
 |  12 | 56238.062500000  | P P |   444.1709 -473.8346  245.9983 |   |
 |  13 | 56238.062500000  | P P |   367.2141  262.1450  228.9286 |   |
 |  14 | 56238.062500000  | P P |  -146.9829 -485.6225  219.6087 |   |
 |  15 | 56238.062500000  | P P |   398.9452 -548.9884  637.6904 |   |
 |  16 | 56238.062500000  | P P |   -56.8055  111.3931  108.1844 |   |
 |  17 | 56238.062500000  | P P |   513.2007 -132.0650  746.2909 |   |
 |  18 | 56238.062500000  | P P |    97.1770 -675.9000  433.1235 |   |
 |  19 | 56238.062500000  | P P |  -133.9602 -258.3692  460.9728 |   |
 |  20 | 56238.062500000  | P P |    71.1773  224.1383  345.0038 |   |
 |  21 | 56238.062500000  | P P |    59.7710 -568.8583   96.4195 |   |
 |  22 | 56238.062500000  | P P |   -70.9224 -540.8484  447.5643 |   |
 |  23 | 56238.062500000  | P P |   152.9212  229.8226   95.8186 |   |
 |  24 | 56238.062500000  | P P | **********18658.4854********** |   |
 |  25 | 56238.062500000  | P P |   324.7314 -362.8059   27.6558 |   |
 |  26 | 56238.062500000  | P P |   554.4760 -306.7699  675.0424 |   |
 |  27 | 56238.062500000  | P P |   115.6861   51.4411   42.6424 |   |
 |  28 | 56238.062500000  | P P |   291.9016 -265.0922  807.0575 |   |
 |  29 | 56238.062500000  | P P |   248.0120 -205.8289  -65.5716 |   |
 |  30 | 56238.062500000  | P P |    14.7405   51.3473  -41.2782 |   |
 |  31 | 56238.062500000  | P P |    27.0524 -178.8771  -95.2392 |   |
 |  32 | 56238.062500000  | P P |   -80.6880   52.5259  347.8782 |   |
 |   1 | 56238.072916667  | P P |    81.2637  -93.9511  679.5358 |   |
 |   2 | 56238.072916667  | P P |   546.1593   32.3032  235.4421 |   |
 |   3 | 56238.072916667  | P P |  -189.1830 -168.6740  228.8412 |   |
 |   4 | 56238.072916667  | P P |   528.8646  169.5842  442.2558 |   |
 |   5 | 56238.072916667  | P P |   562.2984 -220.8525  252.5207 |   |
 |   6 | 56238.072916667  | P P |  -191.9819 -200.9288  137.0420 |   |
 |   8 | 56238.072916667  | P P |   381.1854   65.1427  704.5557 |   |
 |   9 | 56238.072916667  | P P |   253.3192 -632.8284  558.5021 |   |
 |  10 | 56238.072916667  | P P |   505.8943  141.8823  236.5610 |   |
 |  11 | 56238.072916667  | P P |    10.5289 -185.0592  639.0125 |   |
 |  12 | 56238.072916667  | P P |   439.8602 -506.6160  285.6959 |   |
 |  13 | 56238.072916667  | P P |   333.4712  263.0184  195.6840 |   |
 |  14 | 56238.072916667  | P P |  -135.1076 -510.1415  263.3996 |   |
 |  15 | 56238.072916667  | P P |   434.3053 -525.4089  633.6174 |   |
 |  16 | 56238.072916667  | P P |   -36.0492  117.4830   75.6154 |   |
 |  17 | 56238.072916667  | P P |   485.1391 -157.5982  767.2261 |   |
 |  18 | 56238.072916667  | P P |   123.4483 -683.2144  414.3137 |   |
 |  19 | 56238.072916667  | P P |  -153.6101 -246.0327  417.2220 |   |
 |  20 | 56238.072916667  | P P |    52.7412  199.4492  377.7108 |   |
 |  21 | 56238.072916667  | P P |    75.9368 -539.5693   62.8283 |   |
 |  22 | 56238.072916667  | P P |   -49.1388 -570.8205  446.4839 |   |
 |  23 | 56238.072916667  | P P |   114.2332  214.6214   85.4527 |   |
 |  24 | 56238.072916667  | P P | **********25650.3649********** |   |
 |  25 | 56238.072916667  | P P |   333.2861 -403.9937   57.3719 |   |
 |  26 | 56238.072916667  | P P |   578.4981 -272.7494  650.4608 |   |
 |  27 | 56238.072916667  | P P |   127.1799   35.2194   34.7250 |   |
 |  28 | 56238.072916667  | P P |   269.2284 -233.3381  802.7202 |   |
 |  29 | 56238.072916667  | P P |   286.6164 -195.8727  -48.0892 |   |
 |  30 | 56238.072916667  | P P |    35.0793   32.3700  -60.8654 |   |
 |  31 | 56238.072916667  | P P |    11.2049 -226.7385  -88.0921 |   |
 |  32 | 56238.072916667  | P P |   -90.1713   14.8212  381.3881 |   |
 |   1 | 56238.083333333  | P P |    59.6651 -135.4702  675.4805 |   |
 |   2 | 56238.083333333  | P P |   558.0791   50.8343  271.4923 |   |
 |   3 | 56238.083333333  | P P |  -186.3609 -143.2839  187.8865 |   |
 |   4 | 56238.083333333  | P P |   527.1004  162.5246  483.6240 |   |
 |   5 | 56238.083333333  | P P |   559.4231 -177.6436  231.9569 |   |
 |   6 | 56238.083333333  | P P |  -181.6832 -175.1364  100.4375 |   |
 |   7 | 56238.083333333  | P P |   340.2046  261.5528  457.7432 |   |
 |   8 | 56238.083333333  | P P |   393.2975  104.9618  673.7601 |   |
 |   9 | 56238.083333333  | P P |   267.6718 -612.8243  596.0946 |   |
 |  10 | 56238.083333333  | P P |   487.6488  171.6810  239.1319 |   |
 |  11 | 56238.083333333  | P P |   -16.4066 -212.5676  616.4436 |   |
 |  12 | 56238.083333333  | P P |   431.9737 -536.8243  324.4671 |   |
 |  13 | 56238.083333333  | P P |   299.0142  263.1427  167.6828 |   |
 |  14 | 56238.083333333  | P P |  -120.4262 -533.0222  304.6898 |   |
 |  15 | 56238.083333333  | P P |   466.8908 -502.0415  624.9255 |   |
 |  16 | 56238.083333333  | P P |   -15.8007  118.4990   46.0208 |   |
 |  17 | 56238.083333333  | P P |   455.2904 -180.4044  782.4708 |   |
 |  18 | 56238.083333333  | P P |   146.0247 -686.1630  392.1041 |   |
 |  19 | 56238.083333333  | P P |  -168.7124 -227.6439  374.1125 |   |
 |  20 | 56238.083333333  | P P |    37.3913  171.5244  409.1016 |   |
 |  21 | 56238.083333333  | P P |    92.7961 -507.3950   34.9277 |   |
 |  22 | 56238.083333333  | P P |   -29.7630 -596.9210  439.8158 |   |
 |  24 | 56238.083333333  | P P | **********33416.6856********** |   |
 |  25 | 56238.083333333  | P P |   336.5724 -445.2990   88.0674 |   |
 |  26 | 56238.083333333  | P P |   598.7882 -240.3358  623.0477 |   |
 |  28 | 56238.083333333  | P P |   251.9520 -197.7253  795.5345 |   |
 |  29 | 56238.083333333  | P P |   323.0229 -192.7965  -26.1871 |   |
 |  30 | 56238.083333333  | P P |    51.8612    8.8943  -77.1295 |   |
 |  31 | 56238.083333333  | P P |    -6.1941 -272.8599  -76.6829 |   |
 |  32 | 56238.083333333  | P P |   -96.8963  -24.6772  411.9610 |   |
 |   1 | 56238.093750000  | P P |    36.1684 -176.4628  666.1070 |   |
 |   2 | 56238.093750000  | P P |   568.7436   65.1850  311.5356 |   |
 |   3 | 56238.093750000  | P P |  -178.9318 -118.5673  147.8868 |   |
 |   4 | 56238.093750000  | P P |   521.6724  151.3725  526.8365 |   |
 |   5 | 56238.093750000  | P P |   554.1726 -132.1542  214.8149 |   |
 |   6 | 56238.093750000  | P P |  -166.5130 -151.1647   64.9091 |   |
 |   7 | 56238.093750000  | P P |   337.6945  274.6453  411.2944 |   |
 |   8 | 56238.093750000  | P P |   403.0389  141.4088  637.3434 |   |
 |   9 | 56238.093750000  | P P |   286.1730 -586.9120  631.0584 |   |
 |  10 | 56238.093750000  | P P |   467.3665  199.6299  247.6931 |   |
 |  11 | 56238.093750000  | P P |   -43.8060 -237.6156  589.2067 |   |
 |  12 | 56238.093750000  | P P |   422.2112 -561.9536  364.9925 |   |
 |  13 | 56238.093750000  | P P |   261.1100  260.2919  145.1686 |   |
 |  14 | 56238.093750000  | P P |   -99.6951 -554.2665  345.3100 |   |
 |  15 | 56238.093750000  | P P |   497.5121 -476.0521  609.5345 |   |
 |  16 | 56238.093750000  | P P |     4.6781  111.8456   17.3604 |   |
 |  17 | 56238.093750000  | P P |   421.4647 -199.2055  794.4725 |   |
 |  18 | 56238.093750000  | P P |   169.3173 -684.3340  364.6965 |   |
 |  19 | 56238.093750000  | P P |  -179.9922 -206.9362  329.7182 |   |
 |  20 | 56238.093750000  | P P |    23.1931  138.4252  441.7766 |   |
 |  21 | 56238.093750000  | P P |   113.7536 -471.6734    8.9230 |   |
 |  22 | 56238.093750000  | P P |    -8.7711 -620.4178  427.1297 |   |
 |  24 | 56238.093750000  | P P | **********41703.5802********** |   |
 |  25 | 56238.093750000  | P P |   337.5463 -485.0729  122.2040 |   |
 |  26 | 56238.093750000  | P P |   614.4653 -207.3713  590.2502 |   |
 |  28 | 56238.093750000  | P P |   236.4964 -157.9055  784.8275 |   |
 |  29 | 56238.093750000  | P P |   359.6064 -194.5616   -0.6037 |   |
 |  30 | 56238.093750000  | P P |    67.0799  -21.0173  -90.6382 |   |
 |  31 | 56238.093750000  | P P |   -23.0228 -318.3462  -58.9789 |   |
 |  32 | 56238.093750000  | P P |  -101.0628  -67.5948  441.3482 |   |
 |   1 | 56238.104166667  | P P |    11.5350 -214.1527  650.5902 |   |
 |   2 | 56238.104166667  | P P |   578.1251   73.3429  354.1573 |   |
 |   3 | 56238.104166667  | P P |  -167.1494  -94.6499  110.2587 |   |
 |   4 | 56238.104166667  | P P |   513.7859  134.9664  569.1309 |   |
 |   5 | 56238.104166667  | P P |   547.9201  -86.6510  203.1553 |   |
 |   6 | 56238.104166667  | P P |  -147.2142 -128.8869   32.3693 |   |
 |   7 | 56238.104166667  | P P |   331.4295  282.7598  364.4302 |   |
 |   8 | 56238.104166667  | P P |   410.7114  173.5275  597.3109 |   |
 |   9 | 56238.104166667  | P P |   308.2208 -557.5135  661.8504 |   |
 |  10 | 56238.104166667  | P P |   447.6214  224.0639  262.2039 |   |
 |  11 | 56238.104166667  | P P |   -70.5546 -257.5544  557.4820 |   |
 |  12 | 56238.104166667  | P P |   410.7035 -582.0519  405.5582 |   |
 |  13 | 56238.104166667  | P P |   222.0530  255.6491  128.7301 |   |
 |  14 | 56238.104166667  | P P |   -74.9089 -574.0320  383.0536 |   |
 |  15 | 56238.104166667  | P P |   524.9714 -448.6670  588.9854 |   |
 |  16 | 56238.104166667  | P P |    23.9534   98.7052   -8.9035 |   |
 |  17 | 56238.104166667  | P P |   385.7057 -213.5491  801.8363 |   |
 |  18 | 56238.104166667  | P P |   191.0751 -677.4726  333.9696 |   |
 |  19 | 56238.104166667  | P P |  -186.5672 -183.2146  285.8190 |   |
 |  20 | 56238.104166667  | P P |    10.8182  101.4380  472.9230 |   |
 |  21 | 56238.104166667  | P P |   137.2893 -433.9521  -12.2168 |   |
 |  22 | 56238.104166667  | P P |    11.4872 -639.8888  408.9172 |   |
 |  24 | 56238.104166667  | P P | **********50183.6030********** |   |
 |  25 | 56238.104166667  | P P |   335.3586 -522.6165  158.3207 |   |
 |  26 | 56238.104166667  | P P |   625.5425 -174.6599  554.3850 |   |
 |  28 | 56238.104166667  | P P |   224.8244 -115.2975  770.7837 |   |
 |  29 | 56238.104166667  | P P |   393.9659 -202.1935   28.4415 |   |
 |  30 | 56238.104166667  | P P |    79.2524  -55.7117 -100.7702 |   |
 |  31 | 56238.104166667  | P P |   -39.1945 -361.5979  -36.1212 |   |
 |  32 | 56238.104166667  | P P |  -103.1230 -112.4453  467.2048 |   |
 |   1 | 56238.114583333  | P P |   -13.9070 -247.6985  629.2060 |   |
 |   2 | 56238.114583333  | P P |   585.7350   75.3494  398.5018 |   |
 |   3 | 56238.114583333  | P P |  -151.3755  -72.5870   75.2301 |   |
 |   4 | 56238.114583333  | P P |   503.1270  113.8276  609.5849 |   |
 |   5 | 56238.114583333  | P P |   541.1153  -41.8706  197.4395 |   |
 |   6 | 56238.114583333  | P P |  -124.2059 -109.2575    3.0549 |   |
 |   7 | 56238.114583333  | P P |   321.0945  286.1055  317.8701 |   |
