 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |   5 | 55321.072916667  | P P |    -3.8617    0.9044    1.1986 |   |
 |   6 | 55321.072916667  | P P |     4.3120    2.2466    3.6546 |   |
 |   7 | 55321.072916667  | P P |     1.4228   -4.0592    2.1950 |   |
 |   8 | 55321.072916667  | P P |    -2.0141   -0.0788    4.5027 |   |
 |   9 | 55321.072916667  | P P |    -1.9892    5.2574   -2.2249 |   |
 |  10 | 55321.072916667  | P P |    -5.1868   -1.2426   -1.8681 |   |
 |  11 | 55321.072916667  | P P |     3.1074   -5.7691    0.6381 |   |
 |  12 | 55321.072916667  | P P |    -1.3961    1.7069   -3.5251 |   |
 |  13 | 55321.072916667  | P P |    -1.0830   -5.7722   -1.6901 |   |
 |  14 | 55321.072916667  | P P |     3.7795    4.0062   -2.5567 |   |
 |  15 | 55321.072916667  | P P |    -1.9480    1.1362    3.5528 |   |
 |  17 | 55321.072916667  | P P |    -1.9640   -3.5021   -1.7412 |   |
 |  18 | 55321.072916667  | P P |     1.9456    3.9892    4.0749 |   |
 |  19 | 55321.072916667  | P P |     3.1923   -1.3702    3.2240 |   |
 |  20 | 55321.072916667  | P P |     3.6690   -3.3298   -4.5790 |   |
 |  22 | 55321.072916667  | P P |     3.4488    1.8458    2.5899 |   |
 |  23 | 55321.072916667  | P P |     0.4910   -3.8384   -2.1978 |   |
 |  24 | 55321.072916667  | P P |     1.6059    4.8124    3.5440 |   |
 |  26 | 55321.072916667  | P P |    -1.1485    3.6712    4.0879 |   |
 |  27 | 55321.072916667  | P P |    -3.4310    4.3111    0.6866 |   |
 |  28 | 55321.072916667  | P P |    -4.2991   -2.4260    2.0815 |   |
 |  29 | 55321.072916667  | P P |     0.5566    4.1473   -2.6829 |   |
 |  30 | 55321.072916667  | P P |    -0.5887    2.2402   -5.6780 |   |
 |  31 | 55321.072916667  | P P |     1.4027    1.9266   -5.0756 |   |
 |  32 | 55321.072916667  | P P |     4.5130   -2.1892   -3.5716 |   |
 |   1 | 55321.083333333  | P P |  -124.2378  -62.8675   50.2767 |   |
 |   2 | 55321.083333333  | P P |    -2.6753    0.8539   -3.0833 |   |
 |   3 | 55321.083333333  | P P |     3.8074   -0.5905    3.4546 |   |
 |   4 | 55321.083333333  | P P |    -3.2406    0.4767   -4.0983 |   |
 |   5 | 55321.083333333  | P P |    -3.1655    1.7936    1.9104 |   |
 |   6 | 55321.083333333  | P P |     4.1204    1.3642    3.4307 |   |
 |   7 | 55321.083333333  | P P |    -0.0386   -3.4707    2.7053 |   |
 |   8 | 55321.083333333  | P P |    -3.1529    0.9413    4.4783 |   |
 |   9 | 55321.083333333  | P P |    -0.5991    6.1554   -3.8936 |   |
 |  10 | 55321.083333333  | P P |    -4.9472   -0.3403   -1.1624 |   |
 |  11 | 55321.083333333  | P P |     1.9145   -5.8344   -0.1655 |   |
 |  12 | 55321.083333333  | P P |    -0.2188    2.2205   -3.6460 |   |
 |  13 | 55321.083333333  | P P |    -2.1062   -5.6753   -0.5779 |   |
 |  14 | 55321.083333333  | P P |     4.3636    2.6229   -3.5916 |   |
 |  15 | 55321.083333333  | P P |    -1.0308    2.5065    2.8029 |   |
 |  16 | 55321.083333333  | P P |     6.2284   -0.5195    1.0178 |   |
 |  17 | 55321.083333333  | P P |    -2.2817   -2.6829   -2.2486 |   |
 |  18 | 55321.083333333  | P P |     3.2747    3.6650    3.4498 |   |
 |  19 | 55321.083333333  | P P |     2.6982   -2.0131    2.6731 |   |
 |  20 | 55321.083333333  | P P |     2.5590   -3.6380   -4.2969 |   |
 |  21 | 55321.083333333  | P P |     1.4694    4.3704    3.4348 |   |
 |  22 | 55321.083333333  | P P |     4.1160    0.9913    1.5522 |   |
 |  23 | 55321.083333333  | P P |    -0.4711   -4.2396   -1.3160 |   |
 |  24 | 55321.083333333  | P P |     2.6425    3.8229    3.3373 |   |
 |  26 | 55321.083333333  | P P |     0.1533    4.3422    2.4758 |   |
 |  27 | 55321.083333333  | P P |    -2.9847    4.5728    0.4280 |   |
 |  28 | 55321.083333333  | P P |    -4.8063   -2.0322    1.8625 |   |
